rank,stadium,capacity,city,state,year opened,type,tenant,location
272,Hanson Field,16368,Macomb,Illinois,1950,Football,"Western Illinois Leathernecks (NCAA)
","[40.468155, -90.6841094999]"
273,UNI-Dome,16324,Cedar Falls,Iowa,1976,Football,"Northern Iowa Panthers (NCAA)
","[42.5156866, -92.4672610881]"
275,Provost Umphrey Stadium,16000,Beaumont,Texas,1964,Football,"Lamar Cardinals (NCAA)
","[30.0431471, -94.0698836893]"
276,Stallworth Stadium,16000,Baytown,Texas,1969,"Football, soccer","
","[29.79265305, -94.9394490897]"
277,Kibbie Dome,16000,Moscow,Idaho,1971,Football,"Idaho Vandals (NCAA)
","[46.72624105, -117.017437404]"
278,Paladin Stadium,16000,Greenville,South Carolina,1981,"Football, soccer","Furman Paladins (NCAA) Greenville Triumph SC (USL League One) Greenville Liberty SC (USL W League)
","[34.9201, -82.437227991]"
279,Goodman Stadium,16000,Bethlehem,Pennsylvania,1988,Football,"Lehigh Mountain Hawks (NCAA)
","[40.58904985, -75.3562039475]"
280,Simmons Bank Field,16000,Pine Bluff,Arkansas,2000,Football,"Arkansas–Pine Bluff Golden Lions (NCAA)
","[34.2157064, -92.0140402]"
281,Harry Turpin Stadium,15971,Natchitoches,Louisiana,1975,Football,"Northwestern State Demons (NCAA)
","[31.74750935, -93.0962114898]"
282,Hersheypark Stadium,15641,Hershey,Pennsylvania,1939,"Football, soccer","
","[40.29045575, -76.6590180602]"
283,James R Hallford Stadium,15600,Clarkston,Georgia,1968,Football,"
","[33.8095487, -84.2396434]"
284,Jerry Richardson Stadium,15314,Charlotte,North Carolina,2013,Football,"Charlotte 49ers (NCAA)
","[35.31047405, -80.7400756214]"
285,Stadium Bowl,15000,Tacoma,Washington,1910,Football,"
","[47.2670434, -122.4490133]"
286,Quigley Stadium,15000,Little Rock,Arkansas,1936,Football,"
","[34.7369306, -92.30174615]"
287,Greenway Avenue Stadium,15000,Cumberland,Maryland,1937,Football,"
","[39.6425904, -78.7483849]"
288,J Birney Crum Stadium,15000,Allentown,Pennsylvania,1948,"Football, soccer","
","[40.5961445, -75.5015722]"
289,Dick Bivins Stadium,15000,Amarillo,Texas,1950,Football,"
","[35.20324425, -101.8009589965]"
290,Saluki Stadium,15000,Carbondale,Illinois,2010,Football,"Southern Illinois Salukis (NCAA)
","[37.7084507, -89.2162271235]"
291,Sloan Park,15000,Mesa,Arizona,2014,Baseball,"Mesa Solar Sox (AFL)
","[33.4313901, -111.8816373617]"
292,Panther Stadium at Blackshear Field,15000,Prairie View,Texas,2016,Football,"Prairie View A&M Panthers (NCAA)
","[30.0857916, -95.9907058]"
293,Rocky Stadium,15000,Rock Island,Illinois,,"Football, soccer","
","[42.0681019, -87.6926276607]"
294,Watson Memorial Stadium,15000,Hobbs,New Mexico,,Football,"
","[32.707667, -103.1311314]"
295,Homer Bryce Stadium,14575,Nacogdoches,Texas,1973,Football,"Stephen F. Austin Lumberjacks (NCAA)
","[31.62559975, -94.6444010672]"
296,Drake Stadium,14557,Cedar Falls,Iowa,1925,"Football, soccer","Drake Bulldogs (NCAA)
","[41.6049816, -93.6550517921]"
297,Smith's Ballpark,14511,Salt Lake City,Utah,1994,Baseball,"Salt Lake Bees (PCL)
","[40.7407084, -111.8935154814]"
298,Braly Municipal Stadium,14215,Florence,Alabama,1949,Football,"North Alabama Lions (NCAA)
","[34.81074, -87.6707604727]"
299,Louis Armstrong Stadium,14053, New York,New York,2018,Tennis,"
","[40.7510137, -73.8454146258]"
300,Bowers Stadium,14000,Huntsville,Texas,1986,Football,"Sam Houston Bearkats (NCAA)
","[30.71380225, -95.5420564551]"
301,Rhodes Stadium,14000,Elon,North Carolina,2001,Football,"Elon Phoenix (NCAA)
","[36.11007775, -79.5071545004]"
302,Rochester Community Sports Complex Stadium,13768,Rochester,New York,2006,Soccer,"Flower City Union (NISA)
","[43.1622154, -77.6294071916]"
303,Bob Waters Field at EJ Whitmire Stadium,13742,Cullowhee,North Carolina,1974,Football,"Western Carolina Catamounts (NCAA)
","[35.3137739, -83.1765814]"
304,McAllen Veterans Memorial Stadium,13500,McAllen,Texas,1976,"Football, soccer","
","[26.22388805, -98.237301946]"
305,Innovative Field,13500,Rochester,New York,1996,Baseball,"Rochester Red Wings (IL)
","[43.1583013, -77.6197667303]"
306,Hancock Stadium,13391,Normal,Illinois,1963,Football,"Illinois State Redbirds (NCAA)
","[40.5123522, -88.9963856964]"
307,Fisher Stadium,13132,Easton,Pennsylvania,1926,Football,"Lafayette Leopards (NCAA)
","[40.70051605, -75.2102786971]"
308,Louisville Slugger Field,13131,Louisville,Kentucky,2000,Baseball,"Louisville Bats (IL)
","[38.2564512, -85.7436241073]"
309,Christy Mathewson–Memorial Stadium,13100,Lewisburg,Pennsylvania,1924,Football,"Bucknell Bison (NCAA)
","[40.9518671, -76.8846461267]"
310,Gibbs Stadium,13000,Spartanburg,South Carolina,1996,Football,"Wofford Terriers (NCAA)
","[34.9620264, -81.9330264254]"
311,Camelback Ranch,13000,Phoenix,Arizona,2009,Baseball,"Glendale Desert Dogs (AFL)
","[33.51421305, -112.2965017291]"
312,Tommy Standridge Stadium,13000,Carrollton,Texas,,"Football, soccer","
","[32.94045115, -96.9141647984]"
313,Memorial Stadium,12764,Terre Haute,Indiana,1924,"Football, soccer","Indiana State Sycamores (NCAA)
","[39.4667025, -87.4139119]"
314,Pasadena Memorial Stadium,12700,Pasadena,Texas,1965,"Football, soccer","
","[29.6910753, -95.2092076]"
315,Zable Stadium,12672,Williamsburg,Virginia,1935,Football,"William & Mary Tribe (NCAA)
","[37.27297385, -76.7143999586]"
316,Hayward Field,12650,Eugene,Oregon,1919,Track and Field,"Oregon Ducks (NCAA)
","[44.04225865, -123.0708124065]"
317,Villanova Stadium,12500,Villanova,Pennsylvania,1927,"Field lacrosse, football","Villanova Wildcats (NCAA)
","[40.0330101, -75.336639321]"
318,Pennington Field,12500,Bedford,Texas,1987,"Football, soccer","
","[32.83271825, -97.136398262]"
319,Dutch Clark Stadium,12500,Pueblo,Colorado,,Football,"
","[38.2699768, -104.6315012021]"
320,Joy and Ralph Ellis Stadium,12500,Irving,Texas,,"Football, soccer","
","[32.80669735, -96.9375870792]"
321,Kenneth P LaValle Stadium,12300,Stony Brook,New York,2002,Football,"Stony Brook Seawolves (NCAA)
","[40.9187508, -73.1237019338]"
322,Alerus Center,12283,Grand Forks,North Dakota,2001,Multi-purpose,"North Dakota Fighting Hawks (NCAA)
","[47.91080015, -97.0913609031]"
323,Victory Field,12230,Indianapolis,Indiana,1996,Baseball,"Indianapolis Indians (IL)
","[39.76493265, -86.16884215]"
324,Wheeling Island Stadium,12220,Wheeling,West Virginia,1927,"Football, soccer","
","[40.06419525, -80.7298044377]"
325,Swayze Field,12152,Oxford,Mississippi,1988,Baseball,"Ole Miss Rebels (NCAA)
","[34.3663773, -89.5187664]"
326,The Diamond,12134,Richmond,Virginia,1985,Baseball,"Richmond Flying Squirrels (Eastern)VCU Rams (NCAA)
","[37.5717189, -77.4632449135]"
327,IU Michael A Carroll Track & Soccer Stadium,12111,Indianapolis,Indiana,1982,Soccer,"Indy Eleven (USL Championship)IUPUI Jaguars (NCAA)
","[39.7683331, -86.1583502]"
328,Harbor Park,12067,Norfolk,Virginia,1993,Baseball,"Norfolk Tides (IL)
","[36.8440124, -76.278031]"
329,Armstrong Stadium,12000,Hampton,Virginia,1928,Football,"Hampton Pirates (NCAA)
","[37.02047855, -76.3336037679]"
330,Memorial Stadium,12000,Seattle,Washington,1947,Multi-purpose,"Seattle Cascades (AUDL)
","[47.62282225, -122.3499417075]"
331,John F Kennedy Stadium,12000,Bridgeport,Connecticut,1964,Multi-purpose,"
","[41.1883404, -73.2035066343]"
332,Holt Arena,12000,Pocatello,Idaho,1970,Football,"Idaho State Bengals (NCAA)
","[42.86998575, -112.4285589293]"
333,Scottsdale Stadium,12000,Scottsdale,Arizona,1992,Baseball,"Scottsdale Scorpions (AFL)
","[33.48860855, -111.9202046148]"
334,CH Collins Stadium,12000,Denton,Texas,2004,"Football, soccer","
","[33.2617523, -97.1130081]"
335,Ford Center,12000,Frisco,Texas,2016,Football,"
","[33.1105261, -96.8282055486]"
336,Anthony Field at Wildcat Stadium,12000,Abilene,Texas,2017,Football,"Abilene Christian Wildcats (NCAA)
","[32.4735207, -99.7089584997]"
337,Bobby Morrow Stadium,12000,San Benito,Texas,,"Football, soccer","
","[26.1420122, -97.6468597]"
338,Burger Stadium,12000,Austin,Texas,,"Football, soccer","
","[30.2711286, -97.7436995]"
339,Field of Dreams,12000,Las Cruces,New Mexico,,Football,"
","[32.31803865, -106.8099066245]"
340,Jones-Cowart Stadium,12000,Houston,Texas,,"Football, soccer","
","[29.86928595, -95.2656378104]"
341,James M Shuart Stadium,11929,Hempstead,New York,1963,Multi-purpose,"
","[40.715562, -73.5962921163]"
342,Lynn Family Stadium,11700,Louisville,Kentucky,2020,Soccer,Louisville City FC (USL Championship) Racing Louisville FC (NWSL),"[38.2593228, -85.7325529471]"
343,Dell Diamond,11631,Round Rock,Texas,2000,Baseball,"Round Rock Express (PCL)
","[30.5277319, -97.6308392919]"
344,Ernest Hawkins Field at Memorial Stadium,11582,Commerce,Texas,1950,Football,"Texas A&M–Commerce Lions (NCAA)
","[33.2436492, -95.9026927]"
345,Heart Health Park,11569,Sacramento,California,2014,Soccer,"Sacramento Republic FC (USL Championship)
","[38.59135115, -121.4380099285]"
346,Principal Park,11500,Des Moines,Iowa,1992,Baseball,"Iowa Cubs (IL)
","[41.5802173, -93.6166143573]"
347,Kino Sports Complex,11500,Tucson,Arizona,1998,Baseball,"Tucson Saguaros (Pecos)
","[32.173819, -110.9341828232]"
348,Manual Stadium,11500,Louisville,Kentucky,,Football,"
","[38.2198809, -85.7373941812]"
349,Center Court,11435,Mason,Ohio,1981,Tennis,"
","[39.9858852, -82.0102029]"
350,Johnson Hagood Stadium,11427,Charleston,South Carolina,1948,Football,"The Citadel Bulldogs (NCAA)
","[32.7936877, -79.9558603893]"
351,Peoria Sports Complex,11333,Peoria,Arizona,1994,Baseball,"Peoria Javelinas (AFL)
","[33.63018135, -112.2321332182]"
352,Rebel Stadium,11244,West Monroe,Louisiana,1950,Football,"
","[32.5184775, -92.1476353]"
353,Walkup Skydome,11230,Flagstaff,Arizona,1977,Football,"Northern Arizona Lumberjacks (NCAA)
","[35.18059825, -111.6528989502]"
354,Johnny Unitas Stadium,11198,Towson,Maryland,1978,Football,"Towson Tigers (NCAA)
","[39.38854835, -76.6158585214]"
355,Isotopes Park,11124,Albuquerque,New Mexico,2003,"Baseball, soccer","Albuquerque Isotopes (PCL)New Mexico United (USL Championship)
","[35.0699329, -106.6289797564]"
356,Alex G Spanos Stadium,11075,San Luis Obispo,California,1935,"Football, soccer","Cal Poly Mustangs (NCAA)
","[35.29842525, -120.6650409797]"
357,George M Steinbrenner Field,11026,Tampa,Florida,1996,Baseball,"Tampa Tarpons (FSL)
","[27.98016445, -82.506654176]"
358,Wildcat Stadium,11015,Durham,New Hampshire,1936,Football,"New Hampshire Wildcats (NCAA)
","[43.13854745, -70.9391758744]"
359,Memorial Field,11000,Hanover,New Hampshire,1893,Football,"Dartmouth Big Green (NCAA)
","[43.7012974, -72.2842448864]"
360,Atwood Stadium,11000,Flint,Michigan,1929,"Football, soccer","Flint City Bucks (USL League Two)
","[43.01716165, -83.7022775044]"
361,Welcome Stadium,11000,Dayton,Ohio,1949,Football,"Dayton Flyers (NCAA)
","[39.73692745, -84.1981121076]"
362,121 Financial Ballpark,11000,Jacksonville,Florida,2003,Baseball,"Jacksonville Jumbo Shrimp (IL)
","[30.3250346, -81.6428514972]"
363,Salt River Fields at Talking Stick,11000,Scottsdale,Arizona,2011,Baseball,"Salt River Rafters (AFL)
","[33.54538445, -111.8852554578]"
364,Cy-Fair FCU Stadium,11000,Cypress,Texas,,"Football, soccer","
","[29.9059585, -95.6887398995]"
365,Kelly Reeves Stadium,11000,Austin,Texas,,Football,"
","[30.49255865, -97.7746015627]"
366,Union-Tuttle Stadium,11000,Tulsa,Oklahoma,,Football,"
","[36.1563122, -95.9927516]"
367,NBT Bank Stadium,10815,Syracuse,New York,1997,Baseball,"Syracuse Mets (IL)
","[43.07881365, -76.1647682671]"
368,UC Davis Health Stadium,10743,Davis,California,2007,Football,"UC Davis Aggies (NCAA)
","[38.53655635, -121.7627740287]"
369,Baum–Walker Stadium,10737,Fayetteville,Arkansas,1996,Baseball,"Arkansas Razorbacks (NCAA)
","[36.05015275, -94.1832067326]"
370,Surprise Stadium,10714,Surprise,Arizona,2002,Baseball,"Surprise Saguaros (AFL)
","[33.62811815, -112.3782657684]"
371,Chukchansi Park,10650,Fresno,California,2002,Baseball,"Fresno Grizzlies (CL)
","[36.73200405, -119.7902977422]"
372,Sutter Health Park,10624,Sacramento,California,2000,Baseball,"Sacramento River Cats (PCL)
","[38.5803717, -121.5134096964]"
373,American Legion Memorial Stadium,10500,Charlotte,North Carolina,1936,"Football, soccer","Charlotte Independence (USL League One)
","[35.2182402, -80.8289298021]"
374,Manning Field at John L Guidry Stadium,10500,Thibodaux,Louisiana,1972,Football,"Nicholls Colonels (NCAA)
","[29.7957633, -90.822871]"
375,Greater Zion Stadium,10500,St. George,Utah,1985,Football,"Utah Tech Trailblazers (NCAA)
","[37.0995461, -113.5673889114]"
376,Hohokam Stadium,10500,Mesa,Arizona,1997,Baseball,"
","[33.43858945, -111.830081903]"
377,Lubbers Stadium,10444,Allendale,Michigan,1972,Football,Grand Valley State Lakers (NCAA),"[42.9722455, -85.9536535]"
378,Coolray Field,10427,Lawrenceville,Georgia,2009,Baseball,"Gwinnett Stripers (IL)
","[34.04066495, -83.9924761944]"
379,Mansion Park,10400,Altoona,Pennsylvania,,"Football, soccer, track and field","
","[40.34226335, -76.9084325999]"
380,Alex Box Stadium,10326,Baton Rouge,Louisiana,2009,Baseball,"LSU Tigers (NCAA)
","[30.4066886, -91.1875486991]"
381,Crown Field at Andy Kerr Stadium,10221,Hamilton,New York,1939,"Football, field lacrosse","Colgate Raiders (NCAA)
","[43.6307863, -74.4659275]"
382,Credit One Stadium,10200,Charleston,South Carolina,2001,Tennis,"
","[32.8614594, -79.903642783]"
383,Truist Field,10200,Charlotte,North Carolina,2014,Baseball,"Charlotte Knights (IL)
","[35.2272086, -80.8430827]"
384,Five Star Stadium,10200,Macon,Georgia,2013,Football,"Mercer Bears (NCAA)
","[32.8269879, -83.6521682612]"
385,Cavalier Stadium,10200,Roebuck,South Carolina,,Football,"
","[34.85142205, -81.9735999731]"
386,Huntington Park,10100,Columbus,Ohio,2009,Baseball,"Columbus Clippers (IL)
","[39.9687278, -83.0109089109]"
387,Riverfront Stadium,10025,Wichita,Kansas,2021,Baseball,"Wichita Wind Surge (Texas)
","[37.6813858, -97.3454852]"
388,Tiger Stadium,10001,Corsicana,Texas,2006,"Football, soccer","
","[33.2176144, -98.1708784]"
389,William H Greene Stadium,10000,"Washington, D.C.",District of Columbia,1926,Football,"Howard Bison (NCAA)
","[38.92566195, -77.0207369674]"
390,Mitchell Stadium,10000,Bluefield,West Virginia,1936,Football,"
","[37.2507888, -81.2435021067]"
391,Hughes Stadium,10000,Baltimore,Maryland,1937,Football,"Morgan State Bears (NCAA)
","[39.34390705, -76.5829283718]"
392,Estes Stadium,10000,Conway,Arkansas,1939,Football,"Central Arkansas Bears (NCAA)
","[35.08026585, -92.4606058257]"
393,Fortera Stadium,10000,Clarksville,Tennessee,1946,Football,"Austin Peay Governors (NCAA)
","[36.53644025, -87.3526274776]"
394,Alfond Stadium,10000,Orono,Maine,1947,Football,"Maine Black Bears (NCAA)
","[44.9050433, -68.6717776954]"
395,FirstEnergy Stadium,10000,Reading,Pennsylvania,1951,Baseball,"Reading Fightin Phils (Eastern)
","[40.3657177, -75.9337357139]"
396,Howard Wood Field,10000,Sioux Falls,South Dakota,1957,"Football, soccer","
","[43.5626409, -96.7535454435]"
397,Rice–Totten Stadium,10000,Itta Bena,Mississippi,1958,Football,"Mississippi Valley State Delta Devils (NCAA)
","[33.509453, -90.343211]"
398,Alumni Memorial Field,10000,Lexington,Virginia,1962,Football,"VMI Keydets (NCAA)
","[37.78904435, -79.4348873391]"
399,Jayne Stadium,10000,Morehead,Kentucky,1964,Football,"Morehead State Eagles (NCAA)
","[38.19210315, -83.4254910325]"
400,O'Brien Field,10000,Charleston,Illinois,1970,Football,"Eastern Illinois Panthers (NCAA)
","[39.48048275, -88.1811503998]"
401,O'Kelly–Riddick Stadium,10000,Durham,North Carolina,1975,Football,"North Carolina Central Eagles (NCAA)
","[35.9738768, -78.8970334539]"
402,PNC Field,10000,Moosic,Pennsylvania,1989,Baseball,"Scranton/Wilkes-Barre RailRiders (IL)
","[41.3604467, -75.6840997309]"
403,Northwestern Medicine Field,10000,Geneva,Illinois,1991,Baseball,"Kane County Cougars (American Association)
","[41.8875281, -88.3053525]"
404,Prince George's Stadium,10000,Bowie,Maryland,1994,Baseball,"Bowie Baysox (Eastern)
","[38.9455047, -76.7093649393]"
405,Durham Bulls Athletic Park,10000,Durham,North Carolina,1995,Baseball,"Durham Bulls (IL)
","[35.9915839, -78.903917331]"
406,Gold Mine on Airline,10000,Metairie,Louisiana,1997,Multipurpose,"New Orleans Gold (MLR)
","[29.97553855, -90.1995220364]"
407,American Family Fields of Phoenix,10000,Phoenix,Arizona,1998,Baseball,"
","[33.4484367, -112.074141]"
408,Autozone Park,10000,Memphis,Tennessee,2000,"Baseball, Soccer","Memphis Redbirds (IL)Memphis 901 FC (USL Championship)
","[35.14280665, -90.0500113593]"
409,WakeMed Soccer Park,10000,Cary,North Carolina,2002,Soccer,"North Carolina Courage (NWSL)North Carolina FC (USL League One)Carolina Flyers (AUDL)
","[35.78686, -78.7549887084]"
410,First Horizon Park,10000,Nashville,Tennessee,2015,Baseball,"Nashville Sounds (IL)
","[36.17252255, -86.7845980959]"
411,Wild Horse Pass Stadium,10000,Chandler,Arizona,2021,Soccer,"Phoenix Rising FC (USL Championship)
","[33.27124565, -111.9773475957]"
412,Dub Farris Stadium,10000,San Antonio,Texas,,"Football, soccer","
","[29.5634381, -98.6535316374]"
413,Jerry Comalander Stadium,10000,San Antonio,Texas,,"Football, soccer","
","[29.5490742, -98.4677077476]"
414,"Nathaniel ""Traz"" Powell Stadium",10000,Miami,Florida,,Football,"
","[25.8777778, -80.2441667]"
415,Sams Memorial Stadium,10000,Brownsville,Texas,,"Football, soccer","
","[25.91241625, -97.5069764672]"
416,Waller ISD Stadium,10000,Waller,Texas,,Football,"
","[30.0752988, -95.9130403]"
417,Rip Hewes Stadium,10000,Dothan,Alabama,,multipurpose,"
","[31.20578855, -85.4031217948]"
418,Withington Stadium,10000,Jackson,Michigan,,multipurpose,"
","[42.2416466, -84.425589]"
419,Kingston Stadium,10000,Cedar Rapids,Iowa,1952,"Football, soccer","
","[41.9674074, -91.6901137992]"
420,Suplizio Field,10000,Grand Junction,Colorado,1949,Baseball,"Grand Junction Jackalopes (Pioneer)
","[39.07633865, -108.5500709427]"
421,Houck Stadium,10000,Cape Girardeau,Missouri,1930,Football,"Southeast Missouri State Redhawks (NCAA)
","[37.30948395, -89.5312125693]"
422,Reitz Bowl,10000,Evansville,Indiana,,Football,"
","[37.970495, -87.5715641]"
